Date,AUD,CAD,CHF,EUR,GBP,IDR,JPY,KRW,MYR,NOK,NZD,PHP,RUB,SEK,SGD,THB,TRY,ZAR
20150831,0.243497006,-0.138827283,0.639927202,0.472581364,-0.154600301,0.310626796,0.406170287,0.454412724,0.116831951,0.671590225,0.811763278,0.197685358,-0.434121575,0.556173604,0.459898635,-0.121225281,-0.1072853,0.742042379
20150828,0.135652915,0.34329896,0.476700426,0.14199503,0.265255144,0.132929354,0.540731775,-0.134156,-1.089018353,-0.523665665,0.187855466,0.071643891,-0.464391103,-0.640715833,0.465381451,0.682266845,0.023501771,0.909237027
20150827,-0.049360868,-0.297094108,0.98010218,1.045728465,1.018097694,-0.771780623,0.423726326,-0.648855514,-0.333884996,-0.012369828,0.533536311,0.020230544,-3.262404001,0.149934855,-0.298938545,-0.069796899,-0.195768349,0.378401847
20150826,1.076751109,0.539873875,0.39051474,0.912120681,1.244341654,0.531070941,-0.09817188,0.660760669,0.753954474,2.132073356,0.694192709,0.129272661,0.569560422,1.865823723,0.422743323,0.376561832,0.203459713,0.095880681
20150825,0.135408849,-0.43892483,0.450270379,-0.078220059,-0.242430051,-0.112121292,-0.049215188,-2.401396947,-1.247229326,0.129750344,0.31515033,-0.52897827,-2.270703308,0.571558023,-1.250881194,-0.64439731,-1.148915611,-1.599322857
20150824,1.431501767,1.100652606,-1.769372903,-1.878750979,-0.461050242,0.783610171,-2.304132116,1.243265575,2.613723558,-0.878971149,1.545295914,0.383592977,3.654620346,-2.165968265,0.739548816,0.391726531,0.886189935,2.518158496
20150821,-0.239703482,-0.139363914,-0.933136081,-0.868717312,-0.035447915,0.2173711,-0.940292246,0.163861469,1.279271065,-0.417754532,-0.645792188,0.100865454,1.456529953,-0.555717283,0.078276217,-0.030476677,-1.066351043,-0.036089858
20150820,0.445148705,0.426916597,-1.113725576,-1.269784494,-0.023226234,0.484100352,-0.414137007,0.521072187,0.103587901,-0.575183829,-0.628793757,0.670531251,2.498694954,-0.841902075,-0.015359957,0.121984956,1.369716972,0.35009583
20150819,-0.087237825,-0.26332475,-0.226821315,0.172085862,0.2716605,0.208082028,0.077336363,0.237185387,0.282797716,0.308850765,0.106496996,0.12705238,0.002561962,0.51420219,0.113973913,0.151698748,1.078067361,-0.114727184
20150818,0.155568557,-0.23716117,-0.036413235,0.361663653,-0.528242724,-0.391178895,-0.204695034,-0.256045137,-0.277582613,0.328788729,-0.391330456,-0.110828665,0.428679667,0.183148465,-0.472331251,0.47413088,1.086102454,0.016482265
20150817,0.466604946,0.70870809,0.324996169,0.63963964,0.076226682,0.675872474,0.291355378,0.736086152,0.522624505,0.870931835,0.013337649,0.339030518,0.890920644,0.791173219,0.491895227,0.491196043,0.871747996,0.930446633
20150814,-0.548431889,0.243028093,-0.316685177,-0.555008504,-0.009222595,-0.432650625,-0.216882584,-0.126582398,1.739446692,0.135391459,0.25726784,-0.080187353,0.86867723,-0.778054824,0.264153534,-0.22005727,1.559477005,-0.050108649
20150813,0.367615259,0.33078781,0.275436261,0.414078675,-0.189894662,0.637041509,0.254518564,0.322885805,-0.713493368,0.397483135,0.700175652,0.057232838,-0.600663186,-0.943080767,-0.310863242,0.079543838,0.504877777,0.436679665
20150812,-0.6600604,-0.807324766,-0.850827004,-0.896458987,-0.043564517,0.82183654,-0.566089911,-0.445919277,1.661954187,-0.978286097,-1.008101776,0.212800088,0.991724695,-0.935747633,0.301883216,-0.114055926,0.298769364,0.190910449
20150811,0.526125085,-0.432246771,-0.31773791,-0.859339665,-0.620987067,0.812203826,0.098190675,1.419568298,0.939917173,-0.22776555,0.318357164,0.546434739,-0.297387705,-0.967822224,0.928859988,0.427766771,-0.843135445,-0.038350508
20150810,0.332213149,0.377631279,0.403030101,-0.173357664,0.10979832,-0.077368693,0.002251763,0.032970291,0.254205236,-0.338980896,-0.047427497,0.171766419,0.106303035,0.04976756,0.189384495,-0.035791048,0.085108013,0.205263406
